image_path,mask_path,frame_id,variant,ops_hash
data/train/images/1_20250804_183142_746__seed_42__h113580a6.png,data/train/masks/1_20250804_183142_746__seed_42__h113580a6.png,1_20250804_183142_746,seed_42,113580a6
data/train/images/1_20250804_183142_746__seed_43__h5959585e.png,data/train/masks/1_20250804_183142_746__seed_43__h5959585e.png,1_20250804_183142_746,seed_43,5959585e
data/train/images/1_20250804_183142_746__seed_44__h34627635.png,data/train/masks/1_20250804_183142_746__seed_44__h34627635.png,1_20250804_183142_746,seed_44,34627635
data/train/images/1_20250804_183142_746__seed_45__h87eacc40.png,data/train/masks/1_20250804_183142_746__seed_45__h87eacc40.png,1_20250804_183142_746,seed_45,87eacc40
data/train/images/1_20250804_170810_371__hb8412d7a.png,data/train/masks/1_20250804_170810_371__hb8412d7a.png,1_20250804_170810_371,baseline,b8412d7a
data/train/images/1_20250804_170810_371__seed_41__h502625b8.png,data/train/masks/1_20250804_170810_371__seed_41__h502625b8.png,1_20250804_170810_371,seed_41,502625b8
data/train/images/1_20250804_170810_371__seed_42__h7497fc0a.png,data/train/masks/1_20250804_170810_371__seed_42__h7497fc0a.png,1_20250804_170810_371,seed_42,7497fc0a
data/train/images/1_20250804_170810_371__seed_43__hcac46e4e.png,data/train/masks/1_20250804_170810_371__seed_43__hcac46e4e.png,1_20250804_170810_371,seed_43,cac46e4e
data/train/images/1_20250804_170810_371__seed_44__hb134acd3.png,data/train/masks/1_20250804_170810_371__seed_44__hb134acd3.png,1_20250804_170810_371,seed_44,b134acd3
data/train/images/1_20250804_170810_371__seed_45__h5ff010b9.png,data/train/masks/1_20250804_170810_371__seed_45__h5ff010b9.png,1_20250804_170810_371,seed_45,5ff010b9
data/train/images/1_20250804_183142_746__h43bdc3e4.png,data/train/masks/1_20250804_183142_746__h43bdc3e4.png,1_20250804_183142_746,baseline,43bdc3e4
data/train/images/1_20250804_183142_746__seed_41__hda442adb.png,data/train/masks/1_20250804_183142_746__seed_41__hda442adb.png,1_20250804_183142_746,seed_41,da442adb
data/train/images/1_20250804_183142_746__seed_42__h6c9014ab.png,data/train/masks/1_20250804_183142_746__seed_42__h6c9014ab.png,1_20250804_183142_746,seed_42,6c9014ab
data/train/images/1_20250804_183142_746__seed_43__h3fbe51a5.png,data/train/masks/1_20250804_183142_746__seed_43__h3fbe51a5.png,1_20250804_183142_746,seed_43,3fbe51a5
data/train/images/1_20250804_183142_746__seed_44__ha8bbbfba.png,data/train/masks/1_20250804_183142_746__seed_44__ha8bbbfba.png,1_20250804_183142_746,seed_44,a8bbbfba
data/train/images/1_20250804_183142_746__seed_45__h9be2e54c.png,data/train/masks/1_20250804_183142_746__seed_45__h9be2e54c.png,1_20250804_183142_746,seed_45,9be2e54c
data/train/images/1_20250804_170810_371__h62b14f12.png,data/train/masks/1_20250804_170810_371__h62b14f12.png,1_20250804_170810_371,baseline,62b14f12
data/train/images/1_20250804_170810_371__hc22bbe5a.png,data/train/masks/1_20250804_170810_371__hc22bbe5a.png,1_20250804_170810_371,baseline,c22bbe5a
data/train/images/1_20250804_183142_746__h24b1d4fc.png,data/train/masks/1_20250804_183142_746__h24b1d4fc.png,1_20250804_183142_746,baseline,24b1d4fc
data/train/images/1_20250804_183142_746__h04a29ac0.png,data/train/masks/1_20250804_183142_746__h04a29ac0.png,1_20250804_183142_746,baseline,04a29ac0
data/train/images/1_20250804_170810_371__h213d6b1b.png,data/train/masks/1_20250804_170810_371__h213d6b1b.png,1_20250804_170810_371,baseline,213d6b1b
data/train/images/1_20250804_170810_371__hbcb6c385.png,data/train/masks/1_20250804_170810_371__hbcb6c385.png,1_20250804_170810_371,baseline,bcb6c385
data/train/images/1_20250804_183142_746__he3eaa77b.png,data/train/masks/1_20250804_183142_746__he3eaa77b.png,1_20250804_183142_746,baseline,e3eaa77b
data/train/images/1_20250804_183142_746__h0b1b3a92.png,data/train/masks/1_20250804_183142_746__h0b1b3a92.png,1_20250804_183142_746,baseline,0b1b3a92
data/train/images/1_20250804_170810_371__h03a77e0a.png,data/train/masks/1_20250804_170810_371__h03a77e0a.png,1_20250804_170810_371,baseline,03a77e0a
data/train/images/1_20250804_170810_371__seed_41__ha20fd34a.png,data/train/masks/1_20250804_170810_371__seed_41__ha20fd34a.png,1_20250804_170810_371,seed_41,a20fd34a
data/train/images/1_20250804_170810_371__seed_42__h0db8fb63.png,data/train/masks/1_20250804_170810_371__seed_42__h0db8fb63.png,1_20250804_170810_371,seed_42,0db8fb63
data/train/images/1_20250804_170810_371__seed_43__h2c3dc03c.png,data/train/masks/1_20250804_170810_371__seed_43__h2c3dc03c.png,1_20250804_170810_371,seed_43,2c3dc03c
data/train/images/1_20250804_170810_371__seed_44__hed4e8bb9.png,data/train/masks/1_20250804_170810_371__seed_44__hed4e8bb9.png,1_20250804_170810_371,seed_44,ed4e8bb9
data/train/images/1_20250804_170810_371__seed_45__hc7ff7a88.png,data/train/masks/1_20250804_170810_371__seed_45__hc7ff7a88.png,1_20250804_170810_371,seed_45,c7ff7a88
data/train/images/1_20250804_183142_746__h069c403e.png,data/train/masks/1_20250804_183142_746__h069c403e.png,1_20250804_183142_746,baseline,069c403e
data/train/images/1_20250804_183142_746__seed_41__hbafa3768.png,data/train/masks/1_20250804_183142_746__seed_41__hbafa3768.png,1_20250804_183142_746,seed_41,bafa3768
data/train/images/1_20250804_183142_746__seed_42__h329e67cd.png,data/train/masks/1_20250804_183142_746__seed_42__h329e67cd.png,1_20250804_183142_746,seed_42,329e67cd
data/train/images/1_20250804_183142_746__seed_43__h435e3d36.png,data/train/masks/1_20250804_183142_746__seed_43__h435e3d36.png,1_20250804_183142_746,seed_43,435e3d36
data/train/images/1_20250804_183142_746__seed_44__h09b311c1.png,data/train/masks/1_20250804_183142_746__seed_44__h09b311c1.png,1_20250804_183142_746,seed_44,09b311c1
data/train/images/1_20250804_183142_746__seed_45__h1cced748.png,data/train/masks/1_20250804_183142_746__seed_45__h1cced748.png,1_20250804_183142_746,seed_45,1cced748
data/train/images/1_20250804_170810_371__hca29a786.png,data/train/masks/1_20250804_170810_371__hca29a786.png,1_20250804_170810_371,baseline,ca29a786
data/train/images/1_20250804_170810_371__seed_41__hea9a85cc.png,data/train/masks/1_20250804_170810_371__seed_41__hea9a85cc.png,1_20250804_170810_371,seed_41,ea9a85cc
data/train/images/1_20250804_170810_371__seed_42__h46d6c32a.png,data/train/masks/1_20250804_170810_371__seed_42__h46d6c32a.png,1_20250804_170810_371,seed_42,46d6c32a
data/train/images/1_20250804_170810_371__seed_43__h49bfa2c0.png,data/train/masks/1_20250804_170810_371__seed_43__h49bfa2c0.png,1_20250804_170810_371,seed_43,49bfa2c0
data/train/images/1_20250804_170810_371__seed_44__h9f09c182.png,data/train/masks/1_20250804_170810_371__seed_44__h9f09c182.png,1_20250804_170810_371,seed_44,9f09c182
data/train/images/1_20250804_170810_371__seed_45__h3a9dcb10.png,data/train/masks/1_20250804_170810_371__seed_45__h3a9dcb10.png,1_20250804_170810_371,seed_45,3a9dcb10
data/train/images/1_20250804_183142_746__h172c4693.png,data/train/masks/1_20250804_183142_746__h172c4693.png,1_20250804_183142_746,baseline,172c4693
data/train/images/1_20250804_183142_746__seed_41__h3ea613fc.png,data/train/masks/1_20250804_183142_746__seed_41__h3ea613fc.png,1_20250804_183142_746,seed_41,3ea613fc
data/train/images/1_20250804_183142_746__seed_42__h337822e2.png,data/train/masks/1_20250804_183142_746__seed_42__h337822e2.png,1_20250804_183142_746,seed_42,337822e2
data/train/images/1_20250804_183142_746__seed_43__hc75cfae5.png,data/train/masks/1_20250804_183142_746__seed_43__hc75cfae5.png,1_20250804_183142_746,seed_43,c75cfae5
data/train/images/1_20250804_183142_746__seed_44__heafa94e9.png,data/train/masks/1_20250804_183142_746__seed_44__heafa94e9.png,1_20250804_183142_746,seed_44,eafa94e9
data/train/images/1_20250804_183142_746__seed_45__hdbcc9950.png,data/train/masks/1_20250804_183142_746__seed_45__hdbcc9950.png,1_20250804_183142_746,seed_45,dbcc9950
data/train/images/1_20250804_170810_371__h0fe19722.png,data/train/masks/1_20250804_170810_371__h0fe19722.png,1_20250804_170810_371,baseline,0fe19722
data/train/images/1_20250804_170810_371__seed_41__h447272a2.png,data/train/masks/1_20250804_170810_371__seed_41__h447272a2.png,1_20250804_170810_371,seed_41,447272a2
data/train/images/1_20250804_170810_371__seed_42__h6e1ddb8d.png,data/train/masks/1_20250804_170810_371__seed_42__h6e1ddb8d.png,1_20250804_170810_371,seed_42,6e1ddb8d
data/train/images/1_20250804_170810_371__seed_43__hd18e24aa.png,data/train/masks/1_20250804_170810_371__seed_43__hd18e24aa.png,1_20250804_170810_371,seed_43,d18e24aa
data/train/images/1_20250804_170810_371__seed_44__h8f818659.png,data/train/masks/1_20250804_170810_371__seed_44__h8f818659.png,1_20250804_170810_371,seed_44,8f818659
data/train/images/1_20250804_170810_371__seed_45__he3ce4cee.png,data/train/masks/1_20250804_170810_371__seed_45__he3ce4cee.png,1_20250804_170810_371,seed_45,e3ce4cee
data/train/images/1_20250804_183142_746__hb2ecd5a9.png,data/train/masks/1_20250804_183142_746__hb2ecd5a9.png,1_20250804_183142_746,baseline,b2ecd5a9
data/train/images/1_20250804_183142_746__seed_41__ha99687fe.png,data/train/masks/1_20250804_183142_746__seed_41__ha99687fe.png,1_20250804_183142_746,seed_41,a99687fe
data/train/images/1_20250804_183142_746__seed_42__h5f7b8f39.png,data/train/masks/1_20250804_183142_746__seed_42__h5f7b8f39.png,1_20250804_183142_746,seed_42,5f7b8f39
data/train/images/1_20250804_183142_746__seed_43__hb102c41f.png,data/train/masks/1_20250804_183142_746__seed_43__hb102c41f.png,1_20250804_183142_746,seed_43,b102c41f
data/train/images/1_20250804_183142_746__seed_44__h9d04ed18.png,data/train/masks/1_20250804_183142_746__seed_44__h9d04ed18.png,1_20250804_183142_746,seed_44,9d04ed18
data/train/images/1_20250804_183142_746__seed_45__ha1ed7d39.png,data/train/masks/1_20250804_183142_746__seed_45__ha1ed7d39.png,1_20250804_183142_746,seed_45,a1ed7d39
data/train/images/1_20250804_183254_553__h0d6cf70d.png,data/train/masks/1_20250804_183254_553__h0d6cf70d.png,1_20250804_183254_553,baseline,0d6cf70d
data/train/images/1_20250804_183254_553__seed_41__h11eae49a.png,data/train/masks/1_20250804_183254_553__seed_41__h11eae49a.png,1_20250804_183254_553,seed_41,11eae49a
data/train/images/1_20250804_183254_553__seed_42__h62acaa87.png,data/train/masks/1_20250804_183254_553__seed_42__h62acaa87.png,1_20250804_183254_553,seed_42,62acaa87
data/train/images/1_20250804_183254_553__seed_43__hdb9de9a9.png,data/train/masks/1_20250804_183254_553__seed_43__hdb9de9a9.png,1_20250804_183254_553,seed_43,db9de9a9
data/train/images/1_20250804_183254_553__seed_44__h9a683f95.png,data/train/masks/1_20250804_183254_553__seed_44__h9a683f95.png,1_20250804_183254_553,seed_44,9a683f95
data/train/images/1_20250804_183254_553__seed_45__h14c51959.png,data/train/masks/1_20250804_183254_553__seed_45__h14c51959.png,1_20250804_183254_553,seed_45,14c51959
data/train/images/1_20250804_170810_371__hb16d9ead.png,data/train/masks/1_20250804_170810_371__hb16d9ead.png,1_20250804_170810_371,baseline,b16d9ead
data/train/images/1_20250804_170810_371__seed_41__hc60187fe.png,data/train/masks/1_20250804_170810_371__seed_41__hc60187fe.png,1_20250804_170810_371,seed_41,c60187fe
data/train/images/1_20250804_170810_371__seed_42__h47ad19b3.png,data/train/masks/1_20250804_170810_371__seed_42__h47ad19b3.png,1_20250804_170810_371,seed_42,47ad19b3
data/train/images/1_20250804_170810_371__seed_43__h9cb92cbc.png,data/train/masks/1_20250804_170810_371__seed_43__h9cb92cbc.png,1_20250804_170810_371,seed_43,9cb92cbc
data/train/images/1_20250804_170810_371__seed_44__h0b323556.png,data/train/masks/1_20250804_170810_371__seed_44__h0b323556.png,1_20250804_170810_371,seed_44,0b323556
data/train/images/1_20250804_170810_371__seed_45__ha7baf791.png,data/train/masks/1_20250804_170810_371__seed_45__ha7baf791.png,1_20250804_170810_371,seed_45,a7baf791
data/train/images/1_20250804_183142_746__hcb271b43.png,data/train/masks/1_20250804_183142_746__hcb271b43.png,1_20250804_183142_746,baseline,cb271b43
data/train/images/1_20250804_183142_746__seed_41__h0fe7d82d.png,data/train/masks/1_20250804_183142_746__seed_41__h0fe7d82d.png,1_20250804_183142_746,seed_41,0fe7d82d
data/train/images/1_20250804_183142_746__seed_42__h7b172b93.png,data/train/masks/1_20250804_183142_746__seed_42__h7b172b93.png,1_20250804_183142_746,seed_42,7b172b93
data/train/images/1_20250804_183142_746__seed_43__h7a3d2b47.png,data/train/masks/1_20250804_183142_746__seed_43__h7a3d2b47.png,1_20250804_183142_746,seed_43,7a3d2b47
data/train/images/1_20250804_183142_746__seed_44__he7cc7ba4.png,data/train/masks/1_20250804_183142_746__seed_44__he7cc7ba4.png,1_20250804_183142_746,seed_44,e7cc7ba4
data/train/images/1_20250804_183142_746__seed_45__hed416532.png,data/train/masks/1_20250804_183142_746__seed_45__hed416532.png,1_20250804_183142_746,seed_45,ed416532
data/train/images/1_20250804_183254_553__h402e1995.png,data/train/masks/1_20250804_183254_553__h402e1995.png,1_20250804_183254_553,baseline,402e1995
data/train/images/1_20250804_183254_553__seed_41__h7117cf71.png,data/train/masks/1_20250804_183254_553__seed_41__h7117cf71.png,1_20250804_183254_553,seed_41,7117cf71
data/train/images/1_20250804_183254_553__seed_42__hb110aef6.png,data/train/masks/1_20250804_183254_553__seed_42__hb110aef6.png,1_20250804_183254_553,seed_42,b110aef6
data/train/images/1_20250804_183254_553__seed_43__hd9260583.png,data/train/masks/1_20250804_183254_553__seed_43__hd9260583.png,1_20250804_183254_553,seed_43,d9260583
data/train/images/1_20250804_183254_553__seed_44__he19a7d8f.png,data/train/masks/1_20250804_183254_553__seed_44__he19a7d8f.png,1_20250804_183254_553,seed_44,e19a7d8f
data/train/images/1_20250804_183254_553__seed_45__h1363b1d2.png,data/train/masks/1_20250804_183254_553__seed_45__h1363b1d2.png,1_20250804_183254_553,seed_45,1363b1d2
data/train/images/1_20250804_183142_746__hcb271b43.png,data/train/masks/1_20250804_183142_746__hcb271b43.png,1_20250804_183142_746,baseline,cb271b43
data/train/images/1_20250804_183142_746__seed_41__h6335697c.png,data/train/masks/1_20250804_183142_746__seed_41__h6335697c.png,1_20250804_183142_746,seed_41,6335697c
data/train/images/1_20250804_183142_746__seed_42__haa98c770.png,data/train/masks/1_20250804_183142_746__seed_42__haa98c770.png,1_20250804_183142_746,seed_42,aa98c770
data/train/images/1_20250804_183142_746__seed_43__hffd694db.png,data/train/masks/1_20250804_183142_746__seed_43__hffd694db.png,1_20250804_183142_746,seed_43,ffd694db
data/train/images/1_20250804_183142_746__seed_44__he720fc6f.png,data/train/masks/1_20250804_183142_746__seed_44__he720fc6f.png,1_20250804_183142_746,seed_44,e720fc6f
data/train/images/1_20250804_183142_746__seed_45__hab232fd0.png,data/train/masks/1_20250804_183142_746__seed_45__hab232fd0.png,1_20250804_183142_746,seed_45,ab232fd0
data/train/images/1_20250804_183254_553__h402e1995.png,data/train/masks/1_20250804_183254_553__h402e1995.png,1_20250804_183254_553,baseline,402e1995
data/train/images/1_20250804_183254_553__seed_41__h8fa2050e.png,data/train/masks/1_20250804_183254_553__seed_41__h8fa2050e.png,1_20250804_183254_553,seed_41,8fa2050e
data/train/images/1_20250804_183254_553__seed_42__h90ab7990.png,data/train/masks/1_20250804_183254_553__seed_42__h90ab7990.png,1_20250804_183254_553,seed_42,90ab7990
data/train/images/1_20250804_183254_553__seed_43__hb7fde4b8.png,data/train/masks/1_20250804_183254_553__seed_43__hb7fde4b8.png,1_20250804_183254_553,seed_43,b7fde4b8
data/train/images/1_20250804_183254_553__seed_44__hf635878a.png,data/train/masks/1_20250804_183254_553__seed_44__hf635878a.png,1_20250804_183254_553,seed_44,f635878a
data/train/images/1_20250804_183254_553__seed_45__ha3c5ac1b.png,data/train/masks/1_20250804_183254_553__seed_45__ha3c5ac1b.png,1_20250804_183254_553,seed_45,a3c5ac1b
data/train/images/1_20250804_183432_236__h3406c411.png,data/train/masks/1_20250804_183432_236__h3406c411.png,1_20250804_183432_236,baseline,3406c411
data/train/images/1_20250804_183432_236__seed_41__h27a6fbf6.png,data/train/masks/1_20250804_183432_236__seed_41__h27a6fbf6.png,1_20250804_183432_236,seed_41,27a6fbf6
data/train/images/1_20250804_183432_236__seed_42__h5c72bc56.png,data/train/masks/1_20250804_183432_236__seed_42__h5c72bc56.png,1_20250804_183432_236,seed_42,5c72bc56
data/train/images/1_20250804_183432_236__seed_43__hf98217b8.png,data/train/masks/1_20250804_183432_236__seed_43__hf98217b8.png,1_20250804_183432_236,seed_43,f98217b8
data/train/images/1_20250804_183432_236__seed_44__he6cc06ac.png,data/train/masks/1_20250804_183432_236__seed_44__he6cc06ac.png,1_20250804_183432_236,seed_44,e6cc06ac
data/train/images/1_20250804_183432_236__seed_45__h4c0067f3.png,data/train/masks/1_20250804_183432_236__seed_45__h4c0067f3.png,1_20250804_183432_236,seed_45,4c0067f3
data/train/images/1_20250804_170810_371__hb16d9ead.png,data/train/masks/1_20250804_170810_371__hb16d9ead.png,1_20250804_170810_371,baseline,b16d9ead
data/train/images/1_20250804_170810_371__seed_41__hc1eb880c.png,data/train/masks/1_20250804_170810_371__seed_41__hc1eb880c.png,1_20250804_170810_371,seed_41,c1eb880c
data/train/images/1_20250804_170810_371__seed_42__h6a425113.png,data/train/masks/1_20250804_170810_371__seed_42__h6a425113.png,1_20250804_170810_371,seed_42,6a425113
data/train/images/1_20250804_170810_371__seed_43__h109d0696.png,data/train/masks/1_20250804_170810_371__seed_43__h109d0696.png,1_20250804_170810_371,seed_43,109d0696
data/train/images/1_20250804_170810_371__seed_44__h4e55cf3c.png,data/train/masks/1_20250804_170810_371__seed_44__h4e55cf3c.png,1_20250804_170810_371,seed_44,4e55cf3c
data/train/images/1_20250804_170810_371__seed_45__h6ef2426e.png,data/train/masks/1_20250804_170810_371__seed_45__h6ef2426e.png,1_20250804_170810_371,seed_45,6ef2426e
data/train/images/1_20250804_170810_371__hb16d9ead.png,data/train/masks/1_20250804_170810_371__hb16d9ead.png,1_20250804_170810_371,baseline,b16d9ead
data/train/images/1_20250804_170810_371__seed_41__hc53e1e4e.png,data/train/masks/1_20250804_170810_371__seed_41__hc53e1e4e.png,1_20250804_170810_371,seed_41,c53e1e4e
data/train/images/1_20250804_170810_371__seed_42__h525d02d1.png,data/train/masks/1_20250804_170810_371__seed_42__h525d02d1.png,1_20250804_170810_371,seed_42,525d02d1
data/train/images/1_20250804_170810_371__seed_43__h9201c31a.png,data/train/masks/1_20250804_170810_371__seed_43__h9201c31a.png,1_20250804_170810_371,seed_43,9201c31a
data/train/images/1_20250804_170810_371__seed_44__h9bbeb2c4.png,data/train/masks/1_20250804_170810_371__seed_44__h9bbeb2c4.png,1_20250804_170810_371,seed_44,9bbeb2c4
data/train/images/1_20250804_170810_371__seed_45__h916a1e0b.png,data/train/masks/1_20250804_170810_371__seed_45__h916a1e0b.png,1_20250804_170810_371,seed_45,916a1e0b
data/train/images/1_20250804_170810_371__h64f64109.png,data/train/masks/1_20250804_170810_371__h64f64109.png,1_20250804_170810_371,baseline,64f64109
data/train/images/1_20250804_170810_371__seed_41__hd30adb7e.png,data/train/masks/1_20250804_170810_371__seed_41__hd30adb7e.png,1_20250804_170810_371,seed_41,d30adb7e
data/train/images/1_20250804_170810_371__seed_42__h4491ae44.png,data/train/masks/1_20250804_170810_371__seed_42__h4491ae44.png,1_20250804_170810_371,seed_42,4491ae44
data/train/images/1_20250804_170810_371__seed_43__h3dcedb97.png,data/train/masks/1_20250804_170810_371__seed_43__h3dcedb97.png,1_20250804_170810_371,seed_43,3dcedb97
data/train/images/1_20250804_170810_371__seed_44__h96931a8a.png,data/train/masks/1_20250804_170810_371__seed_44__h96931a8a.png,1_20250804_170810_371,seed_44,96931a8a
data/train/images/1_20250804_170810_371__seed_45__h870c445f.png,data/train/masks/1_20250804_170810_371__seed_45__h870c445f.png,1_20250804_170810_371,seed_45,870c445f
data/train/images/1_20250804_170810_371__h64f64109.png,data/train/masks/1_20250804_170810_371__h64f64109.png,1_20250804_170810_371,baseline,64f64109
data/train/images/1_20250804_170810_371__seed_41__h4ed70f64.png,data/train/masks/1_20250804_170810_371__seed_41__h4ed70f64.png,1_20250804_170810_371,seed_41,4ed70f64
data/train/images/1_20250804_170810_371__seed_42__hd2bcc321.png,data/train/masks/1_20250804_170810_371__seed_42__hd2bcc321.png,1_20250804_170810_371,seed_42,d2bcc321
data/train/images/1_20250804_170810_371__seed_43__h9ab0d821.png,data/train/masks/1_20250804_170810_371__seed_43__h9ab0d821.png,1_20250804_170810_371,seed_43,9ab0d821
data/train/images/1_20250804_170810_371__seed_44__h1efa074e.png,data/train/masks/1_20250804_170810_371__seed_44__h1efa074e.png,1_20250804_170810_371,seed_44,1efa074e
data/train/images/1_20250804_170810_371__seed_45__hfd041141.png,data/train/masks/1_20250804_170810_371__seed_45__hfd041141.png,1_20250804_170810_371,seed_45,fd041141
data/train/images/1_20250804_183142_746__hcb271b43.png,data/train/masks/1_20250804_183142_746__hcb271b43.png,1_20250804_183142_746,baseline,cb271b43
data/train/images/1_20250804_183142_746__seed_41__h5cd514bc.png,data/train/masks/1_20250804_183142_746__seed_41__h5cd514bc.png,1_20250804_183142_746,seed_41,5cd514bc
data/train/images/1_20250804_183142_746__seed_42__hc3504c13.png,data/train/masks/1_20250804_183142_746__seed_42__hc3504c13.png,1_20250804_183142_746,seed_42,c3504c13
data/train/images/1_20250804_183142_746__seed_43__h0ef32c46.png,data/train/masks/1_20250804_183142_746__seed_43__h0ef32c46.png,1_20250804_183142_746,seed_43,0ef32c46
data/train/images/1_20250804_183142_746__seed_44__h0c9bbcf4.png,data/train/masks/1_20250804_183142_746__seed_44__h0c9bbcf4.png,1_20250804_183142_746,seed_44,0c9bbcf4
data/train/images/1_20250804_183142_746__seed_45__h577d39af.png,data/train/masks/1_20250804_183142_746__seed_45__h577d39af.png,1_20250804_183142_746,seed_45,577d39af
data/train/images/1_20250804_183254_553__h402e1995.png,data/train/masks/1_20250804_183254_553__h402e1995.png,1_20250804_183254_553,baseline,402e1995
data/train/images/1_20250804_183254_553__seed_41__h1048797c.png,data/train/masks/1_20250804_183254_553__seed_41__h1048797c.png,1_20250804_183254_553,seed_41,1048797c
data/train/images/1_20250804_183254_553__seed_42__hdfe2a608.png,data/train/masks/1_20250804_183254_553__seed_42__hdfe2a608.png,1_20250804_183254_553,seed_42,dfe2a608
data/train/images/1_20250804_183254_553__seed_43__ha8477a0d.png,data/train/masks/1_20250804_183254_553__seed_43__ha8477a0d.png,1_20250804_183254_553,seed_43,a8477a0d
data/train/images/1_20250804_183254_553__seed_44__hee2e122e.png,data/train/masks/1_20250804_183254_553__seed_44__hee2e122e.png,1_20250804_183254_553,seed_44,ee2e122e
data/train/images/1_20250804_183254_553__seed_45__ha1212f70.png,data/train/masks/1_20250804_183254_553__seed_45__ha1212f70.png,1_20250804_183254_553,seed_45,a1212f70
data/train/images/1_20250804_183432_236__h3406c411.png,data/train/masks/1_20250804_183432_236__h3406c411.png,1_20250804_183432_236,baseline,3406c411
data/train/images/1_20250804_183432_236__seed_41__h365eea23.png,data/train/masks/1_20250804_183432_236__seed_41__h365eea23.png,1_20250804_183432_236,seed_41,365eea23
data/train/images/1_20250804_183432_236__seed_42__he63efcbc.png,data/train/masks/1_20250804_183432_236__seed_42__he63efcbc.png,1_20250804_183432_236,seed_42,e63efcbc
data/train/images/1_20250804_183432_236__seed_43__he14db0ad.png,data/train/masks/1_20250804_183432_236__seed_43__he14db0ad.png,1_20250804_183432_236,seed_43,e14db0ad
data/train/images/1_20250804_183432_236__seed_44__h7f1d25ea.png,data/train/masks/1_20250804_183432_236__seed_44__h7f1d25ea.png,1_20250804_183432_236,seed_44,7f1d25ea
data/train/images/1_20250804_183432_236__seed_45__haf1850b0.png,data/train/masks/1_20250804_183432_236__seed_45__haf1850b0.png,1_20250804_183432_236,seed_45,af1850b0
